Dist: 231.0, RGB: (38,18,5), A: 255
Dist: 232.0, RGB: (38,18,5), A: 255
Dist: 233.0, RGB: (38,18,5), A: 255
Dist: 234.0, RGB: (206,142,48), A: 255
Dist: 235.0, RGB: (206,142,48), A: 255
Dist: 236.0, RGB: (206,142,48), A: 255
Dist: 237.0, RGB: (206,142,48), A: 255
Dist: 238.0, RGB: (206,142,48), A: 255
Dist: 239.0, RGB: (206,142,48), A: 255
Dist: 240.0, RGB: (206,142,48), A: 255
Dist: 241.0, RGB: (206,142,48), A: 255
Dist: 242.0, RGB: (206,142,48), A: 255
Dist: 243.0, RGB: (206,142,48), A: 255
Dist: 244.0, RGB: (206,142,48), A: 255
Dist: 245.0, RGB: (206,142,48), A: 255
Dist: 246.0, RGB: (206,142,48), A: 255
Dist: 247.0, RGB: (206,142,48), A: 255
Dist: 248.0, RGB: (206,142,48), A: 255
